slug,oldTitle,displayTitle,subtitle,classification,conversionStatus,notes
"280blocker-review","280blockerは買う価値ある？料金・使い方・広告ブロックの仕組みを解説【2026年版】","280blocker","買う価値・料金・使い方・広告ブロックの仕組みを解説【2026年版】","A. 単体サービス紹介","ほぼ自動変換可能",""
"2ndstreet-delivery-buyback-review","セカンドストリート宅配買取とは？送料・キャンセル・返送料・入金を解説【2026年版】","セカンドストリート宅配買取","送料・キャンセル・返送料・入金を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"across-calendar","Across Calendarとは？無料版とPremiumの違い・料金・使い方をわかりやすく解説","Acrossカレンダー","無料版とPremiumの違い・料金・使い方をわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"ada-ai-review","Adaとは？AIカスタマーサービスの仕組み・料金・どんな企業に向いているかを解説","Ada","AIカスタマーサービスの仕組み・料金・どんな企業に向いているかを解説","A. 単体サービス紹介","自動変換可能",""
"adguard-pro-review","AdGuard Proとは？使い方・料金・通常版との違いをわかりやすく解説","AdGuard Pro","使い方・料金・通常版との違いをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"aeon-net-super-review","イオンネットスーパーとは？配送料・WAON POINT・置き楽・配送エリアを解説【2026年版】","イオンネットスーパー","配送料・WAON POINT・置き楽・配送エリアを解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"aeon-pay-review","AEON Payとは？WAON POINT・イオンカード・WAONタッチ・チャージ払いを解説【2026年版】","AEON Pay","WAON POINT・イオンカード・WAONタッチ・チャージ払いを解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"agoda-review","Agoda（アゴダ）の評判・口コミは？安い理由とメリット・デメリット、予約前の注意点","Agoda（アゴダ）","評判・口コミ、安い理由とメリット・デメリット、予約前の注意点","A. 単体サービス紹介","ほぼ自動変換可能",""
"ahamo-review","ahamoとは？料金・使い方とドコモの他プランとの違いを解説","ahamo","料金・使い方とドコモの他プランとの違いを解説","A. 単体サービス紹介","自動変換可能",""
"airtrip-domestic-flight-review","エアトリの国内航空券は安い？評判・手数料・メリット・予約前の注意点【2026年版】","エアトリの国内航空券","安い？評判・手数料・メリット・予約前の注意点【2026年版】","A. 単体サービス紹介","ほぼ自動変換可能",""
"airtrip-domestic-tour-review","エアトリ国内ツアーの評判・口コミは？メリット・デメリットとJTB・日本旅行との違い【2026年版】","エアトリ国内ツアー","評判・口コミ、メリット・デメリット、JTB・日本旅行との違い【2026年版】","A. 単体サービス紹介","ほぼ自動変換可能",""
"aliexpress-review","AliExpressとは？日本から買える？Choice・返品・安全性・注意点を解説【2026年版】","AliExpress","日本から買える？Choice・返品・安全性・注意点を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"amazon-fresh-review","Amazonフレッシュとは？配送料・最低注文金額・プライム会員・配送時間を解説【2026年版】","Amazonフレッシュ","配送料・最低注文金額・プライム会員・配送時間を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"amazon-music-unlimited-review","Amazon Music Unlimitedとは？料金・Primeとの違い・HD・空間オーディオを解説【2026年版】","Amazon Music Unlimited","料金・Primeとの違い・HD・空間オーディオを解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"amazon-prime-video-review","Amazon Prime Videoとは？料金・Amazonプライム・広告・レンタル・特典を解説【2026年版】","Amazon Prime Video","料金・Amazonプライム・広告・レンタル・特典を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"ankimobile-review","AnkiMobileとは？4,000円を払う意味とPC・Android版との違いをわかりやすく解説","AnkiMobile Flashcards","4,000円を払う意味とPC・Android版との違いをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"anyfont-review","AnyFontとは？使い方・料金・iPhoneにフォントを追加する意味をわかりやすく解説","AnyFont","使い方・料金・iPhoneにフォントを追加する意味をわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"anytime-fitness-review","エニタイムフィットネスとは？料金・24時間利用・店舗相互利用・設備を解説【2026年版】","エニタイムフィットネス","料金・24時間利用・店舗相互利用・設備を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"apple-music-review","Apple Musicとは？料金・ロスレス・空間オーディオ・学割・ファミリーを解説【2026年版】","Apple Music","料金・ロスレス・空間オーディオ・学割・ファミリーを解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"art-moving-review","アート引越センターとは？料金の考え方・3つのコース・見積もり方法まで解説","アート引越センター","料金の考え方・3つのコース・見積もり方法まで解説","A. 単体サービス紹介","自動変換可能",""
"au-hikari-review","auひかりとは？料金・速度・auスマホとのセット割や他社光回線との違いを解説","auひかり","料金・速度・auスマホとのセット割、他社光回線との違いを解説","A. 単体サービス紹介","自動変換可能",""
"au-jibun-bank-review","auじぶん銀行とは？金利・手数料・au PAYとの連携まで解説","auじぶん銀行","金利・手数料・au PAYとの連携まで解説","A. 単体サービス紹介","自動変換可能",""
"au-pay-review","au PAYとは？還元率・Pontaポイント・チャージ・請求書払いを解説【2026年版】","au PAY","還元率・Pontaポイント・チャージ・請求書払いを解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
